  Round      Host (us)   Device (us)  Effective (us)     Orch (us)    Sched (us)
  ------------------------------------------------------------------------------
  0           200872.6        1830.8        1633.6        1209.4        1428.8
  1           150373.9        1596.0        1558.7        1309.0        1558.1
  2           158204.8        1521.8        1489.5        1292.8        1488.7
  3           144103.7        1523.1        1490.5        1295.5        1489.6
  4           145517.4        1541.7        1509.7        1322.3        1509.0
  5           143894.3        1568.8        1534.2        1306.0        1533.8
  6           156520.3        1484.5        1454.9        1273.3        1454.3
  7           144250.4        1508.8        1478.7        1289.1        1478.1
  8           144963.2        1573.5        1541.2        1307.1        1540.8
  9           143685.4        1509.6        1478.1        1262.4        1477.2
  10          152905.7        1527.9        1495.9        1312.7        1495.2
  11          141225.2        1510.8        1478.8        1268.5        1478.4
  12          150419.0        1636.5        1604.9        1286.5        1604.5
  13          142653.9        1560.8        1529.6        1268.8        1529.1
  14          144788.1        1498.1        1468.1        1270.2        1467.3
  15          148300.0        1529.8        1500.4        1268.8        1498.9
  16          147911.7        1531.7        1500.4        1290.6        1499.8
  17          156499.0        1644.7        1609.7        1273.1        1608.5
  18          157056.9        1613.9        1569.2        1307.5        1560.1
  19          150827.9        1545.2        1513.0        1325.3        1512.5
  20          141529.0        1529.0        1499.0        1272.6        1498.4
  21          144139.5        1581.3        1551.0        1276.6        1550.4
  22          151817.5        1494.2        1460.4        1249.8        1459.2
  23          146228.3        1532.2        1499.5        1283.6        1498.8
  24          152019.3        1560.1        1525.2        1276.5        1524.6
  25          152153.9        1554.8        1525.4        1288.4        1524.9
  26          139594.2        1539.4        1505.3        1265.6        1504.9
  27          143100.2        1654.7        1622.5        1308.1        1621.9
  28          143721.5        1530.4        1497.3        1297.2        1496.1
  29          143336.5        1583.7        1553.6        1279.1        1553.0
  30          136799.7        1551.7        1520.2        1280.3        1519.6
  31          141783.0        1575.0        1542.3        1285.8        1541.2
  32          149564.0        1482.4        1450.1        1250.2        1449.3
  33          140712.7        1554.1        1519.3        1262.1        1518.9
  34          151397.7        1606.1        1574.9        1353.9        1574.3
  35          151687.3        1528.8        1498.1        1303.0        1497.1
  36          143974.7        1515.7        1481.6        1308.0        1480.4
  37          150729.8        1610.0        1576.9        1300.7        1576.4
  38          149965.3        1576.5        1545.3        1296.8        1544.3
  39          156848.2        1511.4        1474.2        1282.2        1472.7
  40          143446.4        1540.6        1509.3        1291.4        1508.7
  41          154376.0        1509.4        1480.5        1266.8        1479.7
  42          156167.1        1561.5        1526.8        1337.6        1526.1
  43          161520.4        1510.9        1480.6        1315.5        1480.0
  44          150987.1        1528.6        1493.7        1323.3        1493.2
  45          174227.8        1498.7        1462.3        1263.5        1461.8
  46          152065.2        1506.2        1474.7        1277.6        1474.3
  47          153529.2        1543.4        1511.1        1295.2        1510.0
  48          149767.6        1542.3        1508.3        1301.3        1507.9
  49          156420.2        1511.2        1480.3        1270.0        1479.8
  50          148811.4        1536.5        1503.1        1297.0        1502.7
  51          146787.5        1554.9        1523.5        1290.6        1523.2
  52          160575.8        1563.7        1532.4        1318.0        1531.6
  53          144995.7        1531.3        1502.2        1294.1        1501.6
  54          160886.0        1539.7        1507.7        1295.5        1506.9
  55          148718.7        1525.8        1494.3        1281.7        1493.5
  56          146953.0        1529.2        1498.0        1328.5        1497.6
  57          167076.4        1536.7        1499.8        1292.6        1499.3
  58          163160.6        1531.6        1501.4        1255.5        1500.9
  59          151809.9        1606.8        1572.5        1312.0        1571.8
  60          160399.9        1530.9        1499.6        1289.9        1499.1
  61          158220.1        1504.7        1472.1        1272.6        1471.6
  62          157876.2        1510.6        1476.4        1302.6        1476.1
  63          178089.7        1521.0        1489.7        1282.8        1489.1
  64          147167.9        1527.5        1493.3        1267.8        1492.3
  65          149359.4        1598.6        1569.4        1326.1        1568.8
  66          151833.5        1586.9        1550.0        1265.8        1549.2
  67          148514.7        1533.0        1499.4        1288.1        1498.8
  68          151605.1        1532.3        1500.6        1290.1        1500.0
  69          147324.3        1498.3        1466.9        1278.9        1466.1
  70          143639.3        1564.6        1532.1        1298.1        1531.5
  71          152902.1        1533.8        1502.9        1284.5        1502.3
  72          155378.0        1536.4        1502.9        1262.5        1502.5
  73          151136.4        1502.2        1471.1        1228.7        1470.7
  74          151797.8        1513.6        1477.8        1274.2        1477.4
  75          163183.2        1540.8        1507.8        1296.1        1507.3
  76          148981.5        1496.2        1463.3        1285.6        1462.7
  77          152362.7        1523.6        1489.2        1294.3        1488.5
  78          155053.6        1487.0        1451.7        1282.1        1451.1
  79          144732.9        1580.1        1546.6        1295.3        1545.7
  80          156625.0        1518.6        1488.3        1266.8        1487.8
  81          161453.6        1520.9        1488.2        1293.9        1487.0
  82          150782.7        1501.1        1467.4        1267.9        1467.0
  83          150961.9        1528.6        1494.0        1307.8        1493.4
  84          147714.0        1468.2        1438.5        1241.1        1437.5
