  Round      Host (us)   Device (us)  Effective (us)     Orch (us)    Sched (us)
  ------------------------------------------------------------------------------
  0           172159.6        1769.5        1602.6        1029.4        1383.2
  1           125287.3        1489.3        1452.9        1175.7        1452.1
  2           114606.5        1542.1        1511.1        1185.2        1510.3
  3           127318.2        1511.6        1479.6        1182.2        1479.0
  4           135198.8        1567.0        1533.8        1184.9        1533.1
  5           136253.4        1519.6        1488.3        1208.2        1487.4
  6           123211.4        1500.2        1467.1        1177.8        1466.5
  7           116060.1        1498.1        1464.0        1192.6        1463.4
  8           113326.7        1520.2        1488.9        1187.1        1488.3
  9           121393.0        1552.2        1519.3        1163.8        1518.8
  10          120053.2        1525.8        1492.3        1163.1        1491.9
  11          116380.3        1543.1        1511.3        1195.0        1510.7
  12          115767.3        1475.7        1441.3        1170.0        1440.4
  13          115555.4        1613.7        1583.0        1165.9        1582.4
  14          115539.4        1513.5        1481.0        1176.4        1480.6
  15          114475.5        1470.2        1440.0        1177.1        1439.5
  16          112026.3        1488.0        1456.9        1155.5        1456.4
  17          112667.7        1484.6        1451.2        1159.1        1450.6
  18          128683.5        1507.0        1475.4        1194.8        1474.9
  19          118264.9        1535.9        1505.5        1153.9        1504.8
  20          117668.4        1474.4        1436.5        1189.9        1436.1
  21          115584.9        1517.4        1487.2        1167.8        1486.5
  22          114218.5        1482.6        1450.6        1183.7        1450.0
  23          116825.6        1540.6        1508.1        1188.6        1507.6
  24          115406.8        1493.0        1461.9        1188.0        1461.3
  25          117326.6        1511.3        1480.1        1176.2        1479.4
  26          116473.2        1493.7        1463.0        1178.0        1462.4
  27          117279.3        1596.7        1566.1        1174.1        1565.4
  28          115922.5        1505.5        1475.6        1191.9        1475.0
  29          118860.5        1514.6        1480.3        1178.9        1479.7
  30          116183.0        1518.9        1488.7        1174.0        1488.2
  31          117571.2        1491.7        1459.9        1166.3        1459.3
  32          116982.1        1516.8        1487.7        1191.3        1486.9
  33          119009.8        1477.3        1442.6        1172.8        1442.0
  34          117785.8        1573.2        1541.3        1173.6        1540.7
  35          123312.6        1509.3        1478.3        1164.5        1477.5
  36          119360.0        1511.1        1476.9        1183.7        1476.3
  37          119067.5        1504.9        1473.6        1183.2        1472.9
  38          117955.7        1522.9        1489.1        1182.6        1488.5
  39          124268.6        1473.5        1441.0        1187.1        1440.4
  40          128877.4        1518.9        1487.7        1166.9        1487.3
  41          130490.0        1591.1        1561.3        1167.1        1560.6
  42          120729.2        1509.5        1477.1        1191.9        1476.6
  43          120763.1        1597.3        1565.6        1154.1        1564.9
  44          123026.8        1538.6        1505.8        1174.6        1505.1
  45          128938.0        1492.6        1461.1        1171.5        1460.5
  46          120619.9        1511.9        1478.4        1163.0        1477.8
  47          120513.1        1576.3        1545.3        1171.2        1544.8
  48          120749.8        1638.8        1606.8        1173.3        1606.0
  49          125226.0        1496.2        1463.9        1180.0        1463.2
  50          122951.5        1470.5        1441.3        1173.7        1440.7
  51          122144.2        1464.1        1434.2        1192.0        1433.3
  52          122778.5        1492.7        1457.7        1155.4        1457.1
  53          123096.9        1472.3        1440.7        1178.5        1440.2
  54          127964.8        1490.2        1460.4        1142.2        1459.8
  55          122590.7        1501.4        1470.6        1180.5        1469.8
  56          121558.3        1468.7        1439.7        1189.5        1439.0
  57          123327.1        1557.6        1528.3        1159.3        1527.6
  58          142055.4        1464.4        1430.7        1167.9        1430.0
  59          130704.8        1465.4        1437.4        1163.2        1437.0
  60          131653.1        1557.8        1526.7        1152.0        1526.2
  61          131699.3        1509.5        1477.2        1171.3        1476.6
  62          125438.3        1464.1        1435.0        1175.5        1434.4
  63          124696.8        1580.3        1549.4        1166.9        1548.7
  64          123865.8        1482.6        1451.5        1180.1        1451.0
  65          129029.2        1533.6        1503.1        1157.2        1502.5
  66          122345.3        1519.8        1489.7        1187.4        1488.7
  67          120633.4        1481.5        1450.5        1173.2        1450.0
  68          121770.7        1459.8        1427.2        1150.7        1426.6
  69          122591.6        1617.4        1586.9        1142.8        1586.3
  70          124706.2        1470.1        1440.2        1177.2        1439.4
  71          124007.6        1517.0        1486.5        1161.8        1486.1
  72          122637.4        1501.0        1470.5        1163.4        1470.1
  73          123519.5        1461.1        1430.6        1169.5        1429.8
  74          126342.1        1480.8        1452.6        1161.0        1451.9
  75          130920.8        1567.1        1533.1        1176.3        1532.4
  76          128606.2        1511.8        1478.2        1171.5        1477.5
  77          124065.9        1476.1        1444.3        1171.0        1443.8
  78          125055.4        1620.5        1588.6        1155.0        1588.1
  79          124650.0        1493.2        1464.5        1163.7        1463.9
  80          120422.6        1507.6        1477.1        1177.0        1476.4
  81          128179.3        1450.5        1418.0        1171.8        1417.0
  82          141253.1        1511.3        1476.9        1179.8        1476.2
  83          126193.6        1490.0        1460.7        1137.8        1460.2
  84          123028.5        1521.4        1492.0        1155.4        1491.2
  85          121323.8        1472.1        1443.6        1175.2        1442.8
  86          122297.3        1474.2        1442.7        1187.6        1442.0
  87          123116.2        1515.0        1484.8        1161.3        1484.2
  88          123496.9        1533.8        1504.9        1176.9        1504.1
  89          120930.9        1481.6        1449.9        1165.6        1449.1
  90          144450.5        1530.4        1499.5        1158.5        1498.8
  91          131000.9        1459.8        1430.7        1171.1        1429.8
  92          127311.8        1480.6        1452.0        1150.6        1451.0
  93          125690.1        1536.2        1504.4        1195.9        1503.8
  94          136751.7        1580.7        1550.9        1152.5        1550.4
  95          124697.6        1486.6        1455.0        1157.2        1454.4
  96          126157.0        1533.0        1501.5        1188.2        1501.0
  97          124621.4        1481.0        1450.4        1156.7        1449.7
  98          130133.8        1488.7        1461.1        1184.1        1460.4
  99          127167.5        1519.4        1487.2        1173.6        1486.4
  Avg Host: 123668.6 us  |  Avg Device: 1515.3 us [100/100]  |  Avg Effective: 1482.6 us  |  Avg Orch: 1171.1 us  |  Avg Sched: 1479.7 us  (100 rounds)
  Trimmed Avg Host: 122762.2 us  |  Trimmed Avg Device: 1508.8 us  (dropped 10 low + 10 high, 80 rounds used)
