  Round      Host (us)   Device (us)  Effective (us)     Orch (us)    Sched (us)
  ------------------------------------------------------------------------------
  0            77794.9        1295.1        1145.3         476.9         947.1
  1            41877.2        1003.1         972.9         593.6         970.9
  2            36425.3         978.1         947.5         600.3         945.9
  3            34819.6         972.3         943.6         596.1         942.0
  4            34457.7         988.3         959.2         605.9         955.2
  5            32469.5        1051.1        1020.9         602.1        1018.7
  6            33720.1         963.7         935.6         588.1         933.6
  7            34185.8        1037.4        1006.4         607.7        1004.0
  8            33379.9        1055.0        1026.1         600.2        1023.7
  9            65553.8         932.3         901.7         605.9         900.0
  10           38712.0        1006.5         976.3         614.8         971.8
  11           34106.9         934.5         907.2         587.1         904.6
  12           33011.6         938.6         908.9         575.1         905.9
  13           33830.0        1012.9         983.0         590.7         979.3
  14           34147.8        1039.0        1006.6         610.5        1004.4
  15           33531.3        1020.3         992.0         610.1         989.8
  16           33656.7        1087.1        1059.4         592.1        1057.1
  17           33428.7        1040.4        1015.8         588.4        1012.8
  18           39498.9        1048.4        1017.4         595.3        1015.5
  19           45113.1        1006.1         977.1         582.6         973.3
  20           37009.6        1089.1        1059.0         598.5        1055.7
  21           32655.6         998.8         966.9         586.9         963.1
  22           33227.7         972.2         942.2         580.5         940.5
  23           32150.9         990.5         965.2         591.2         960.1
  24           48345.6        1023.4         995.6         607.0         993.5
  25           38849.4        1072.6        1047.2         593.7        1043.6
  26           35287.7        1019.7         990.9         598.5         986.8
  27           33028.3        1015.7         984.1         594.7         980.5
  28           35553.1        1056.4        1012.6         583.3        1010.1
  29           33968.7         946.5         921.2         585.9         917.1
  30           33636.4        1050.7        1020.6         597.0        1018.5
  31           34483.1         972.0         942.6         600.8         938.9
  32           32291.3        1016.3         987.4         605.7         983.3
  33           33650.6        1036.3        1007.0         597.5        1003.3
  34           31691.1         957.8         927.5         600.6         924.9
  35           33637.1         976.8         947.6         604.7         944.6
  36           32508.3        1048.7        1020.7         603.6        1017.1
  37           34133.5        1066.5        1037.3         608.8        1034.2
  38           32599.9         990.9         965.0         604.6         962.1
  39           31880.5         995.5         965.2         591.3         960.8
  40           34816.8        1055.1        1023.8         627.0        1021.2
  41           48454.9        1067.4        1038.4         596.7        1036.3
  42           37951.3        1011.4         982.4         610.4         979.4
  43           35797.2         992.0         959.9         595.3         955.9
  44           34164.8         938.7         911.1         589.9         907.2
  45           34037.7         955.8         928.1         613.8         925.5
  46           33835.9        1010.8         980.2         601.2         978.2
  47           34168.3         943.5         915.2         600.3         912.7
  48           33511.0        1038.2        1008.5         610.0        1004.7
  49           34838.5         982.7         952.7         600.7         950.9
  50           35999.6        1097.6        1067.5         591.3        1065.3
  51           34056.2        1071.9        1040.1         612.3        1037.8
  52           34632.4        1015.1         986.6         624.2         984.2
  53           33368.7        1035.3        1006.5         588.5        1004.4
  54           34720.4        1074.7        1042.7         599.8        1038.6
  55           33362.2         953.5         923.1         596.0         919.0
  56           34084.2        1014.6         987.4         587.2         985.6
  57           35587.3         956.3         918.3         602.1         911.8
  58           34096.7         960.6         930.9         616.8         928.2
  59           34393.1        1054.3        1025.3         598.7        1022.3
  60           33288.8         996.5         970.1         612.5         968.9
  61           34548.6        1027.1         993.8         604.7         992.2
  62           33162.3        1057.6        1027.8         597.8        1025.2
  63           34268.3         994.5         963.4         576.5         961.0
  64           34304.2        1011.2         981.8         576.4         978.9
  65           33924.7         983.9         958.0         598.4         955.3
  66           34248.5        1015.4         984.3         594.8         980.6
  67           31997.5         939.5         916.3         597.4         911.3
  68           34464.5        1022.9         992.6         614.1         990.0
  69           33549.7         954.0         923.0         601.6         919.7
  70           34265.6        1000.1         973.2         638.9         970.7
  71           34328.2        1014.4         988.2         606.8         985.3
  72           36134.7        1015.8         988.1         592.9         985.8
  73           34574.2         956.1         926.3         605.1         924.5
  74           33452.6         942.0         917.8         587.3         914.7
  75           34809.8         950.6         922.5         589.5         918.2
  76           34022.9         947.8         922.3         628.4         920.1
  77           34293.9         990.3         961.3         593.5         958.1
  78           35417.6        1095.4        1062.2         591.7        1058.7
  79           35555.0        1111.2        1082.8         594.9        1079.1
  80           35284.8        1036.6        1008.9         598.3        1006.9
  81           34627.4         940.7         909.6         586.5         907.9
  82           36155.7        1087.3        1056.1         584.5        1052.1
  83           34850.0         979.8         949.4         625.2         947.3
  84           33598.8        1020.3         989.6         601.3         985.2
  85           35330.8        1042.2        1013.2         609.4        1010.8
  86           34896.5        1035.7        1005.4         582.7        1003.4
  87           34454.1         968.1         938.3         575.8         934.5
  88           34989.6        1132.0        1099.9         601.7        1097.4
  89           35417.0         976.3         950.6         590.7         947.8
  90           34459.9         943.3         915.9         604.2         911.9
  91           33261.4         986.2         957.3         605.9         953.4
  92           34675.3         961.0         934.9         603.4         931.5
  93           34567.4        1053.7        1022.9         621.1        1021.1
  94           34264.0         946.1         915.0         591.3         912.8
  95           34676.3        1038.6        1012.4         599.8        1009.4
  96           34363.1         989.4         959.8         604.8         956.7
  97           34828.9         987.6         957.4         597.2         955.1
  98           34001.6        1116.7        1086.8         586.0        1085.2
  99           34763.4         969.9         937.9         605.8         935.9
  Avg Host: 35582.6 us  |  Avg Device: 1011.7 us [100/100]  |  Avg Effective: 981.1 us  |  Avg Orch: 598.0 us  |  Avg Sched: 976.3 us  (100 rounds)
  Trimmed Avg Host: 34410.7 us  |  Trimmed Avg Device: 1007.4 us  (dropped 10 low + 10 high, 80 rounds used)
