  Round      Host (us)   Device (us)  Effective (us)     Orch (us)    Sched (us)
  ------------------------------------------------------------------------------
  0            84214.7        1227.5        1027.1         597.7         856.1
  1            44467.3         951.7         919.4         700.8         918.7
  2            48958.0         945.4         916.9         690.4         912.6
  3            41786.5        1037.4        1010.6         678.0        1006.5
  4            37691.8         983.0         955.8         677.4         953.3
  5            37182.4        1011.5         982.5         774.4         980.3
  6            37444.0         978.9         949.5         686.0         946.2
  7            34913.1        1018.9         991.9         702.0         987.5
  8            33365.4         943.6         916.6         699.9         912.3
  9            35421.2         965.6         938.8         661.5         934.3
  10           39894.7         998.3         973.3         686.6         970.4
  11           44707.2         987.4         955.7         674.0         952.9
  12           40626.5         979.1         948.0         707.4         945.2
  13           35936.0         985.3         954.1         695.1         950.3
  14           37164.4         997.5         967.6         702.5         963.5
  15           35160.1         930.0         901.2         697.3         897.0
  16           37477.1        1015.8         986.9         678.6         984.8
  17           33965.5         959.4         930.4         691.0         926.0
  18           34402.5        1106.8        1081.0         672.6        1077.5
  19           33531.7         984.1         954.7         682.5         952.0
  20           34107.2        1088.7        1060.0         667.0        1055.3
  21           35932.7        1020.5         990.1         682.7         987.0
  22           37388.8         977.8         952.7         673.0         950.5
  23           36416.6         972.0         944.8         691.1         940.8
  24           36237.3         956.6         931.1         683.5         926.9
  25           34211.9         925.8         899.9         681.2         897.3
  26           34102.6         961.0         932.8         705.9         929.4
  27           34441.7        1094.7        1065.1         654.6        1062.3
  28           35139.0         955.2         930.7         679.5         926.5
  29           36175.1         983.9         953.8         710.7         951.3
  30           44961.9         947.5         923.0         704.7         918.8
  31           46268.0         941.7         911.6         673.2         908.3
  32           39994.6        1004.0         975.4         685.9         970.8
  33           37951.6         924.2         900.4         687.7         896.0
  34           36937.8        1093.9        1062.8         694.4        1058.8
  35           34037.4         968.1         942.2         685.6         938.5
  36           33969.0         938.0         912.6         680.0         908.6
  37           34474.6         934.9         904.2         697.0         901.4
  38           37466.1         979.6         948.6         707.3         944.7
  39           36562.6         971.4         942.4         704.9         938.6
  40           41366.3         972.1         941.7         733.7         938.0
  41           54211.3         942.2         911.4         694.6         907.8
  42           45499.9         993.7         962.4         676.9         959.2
  43           40076.9         945.9         919.0         687.7         915.6
  44           39021.1        1040.3        1012.7         677.2        1009.1
  45           37368.5         993.5         970.6         684.1         966.6
  46           37384.0        1038.5        1009.9         702.0        1007.5
  47           38056.3        1006.2         979.0         669.0         976.2
  48           37319.2         988.3         960.1         725.6         956.1
  49           38072.3         968.2         943.8         688.1         940.0
  50           37553.8         972.4         942.8         689.7         939.5
  51           39067.1        1033.3        1006.3         689.3        1003.7
  52           38632.3         970.8         946.3         704.0         941.9
  53           38597.3        1011.0         980.2         689.0         976.1
  54           41521.7         994.7         966.6         680.8         964.1
  55           39666.8         951.9         923.6         672.2         919.9
  56           39499.1         980.3         953.2         689.6         949.8
  57           38543.2         928.6         900.5         681.2         898.5
  58           38272.6         977.4         948.5         693.6         945.9
  59           38245.4         976.8         949.9         691.5         946.0
  60           37106.6         985.7         959.8         732.8         957.5
  61           37833.5        1004.5         975.1         688.6         972.3
  62           36690.0         961.9         935.1         665.6         931.3
  63           37606.2         938.3         913.6         697.5         908.7
  64           37333.7         969.4         943.1         720.9         939.1
  65           38293.7        1035.2        1009.3         672.1        1004.8
  66           37838.3         990.6         959.8         681.9         955.8
  67           37001.3         968.3         939.9         697.5         936.7
  68           37391.7         976.4         945.4         691.2         941.3
  69           36658.1         967.1         935.9         654.9         932.9
  70           34606.5         940.2         912.5         701.6         907.8
  71           35205.2        1008.4         984.1         678.2         979.9
  72           37213.6        1001.7         973.3         670.7         970.6
  73           38816.1         965.3         936.5         711.3         931.9
  74           38127.4         969.7         942.2         684.1         937.5
  75           37226.2         994.6         972.1         697.2         966.9
  76           37821.9        1004.9         974.2         692.4         969.8
  77           35497.7        1024.2         996.8         693.7         992.1
  78           37667.2         934.0         904.4         682.6         901.1
  79           36736.8         934.0         906.0         670.5         901.2
  80           37593.8         993.2         966.8         691.3         962.3
  81           38227.3         953.1         925.4         681.6         923.0
  82           37922.3         958.5         932.4         689.8         929.4
  83           38519.6        1024.6         996.8         680.3         992.4
  84           37692.2         978.1         950.6         683.9         946.8
  85           39050.6        1039.1        1013.2         685.3        1007.1
  86           37408.4         972.2         946.6         686.4         943.5
  87           37962.4         999.3         972.2         646.0         968.4
  88           38441.8         961.6         936.3         654.1         931.7
  89           38003.8         992.3         965.3         670.3         961.7
  90           38440.6        1051.7        1022.3         702.4        1019.3
  91           37964.3         996.4         971.3         660.8         967.8
  92           53683.2         932.4         904.7         673.5         899.6
  93           42887.9        1032.1        1005.0         667.2         999.7
  94           40031.9         966.2         938.1         710.4         933.5
  95           35782.9        1032.9        1005.1         684.1        1001.6
  96           36682.4         994.1         965.6         693.9         960.3
  97           36061.0         956.1         932.5         685.5         927.8
  98           38568.2         990.8         966.4         684.3         961.9
  99           52156.7         973.9         944.3         682.7         941.2
  Avg Host: 38788.1 us  |  Avg Device: 987.1 us [100/100]  |  Avg Effective: 957.5 us  |  Avg Orch: 687.2 us  |  Avg Sched: 952.2 us  (100 rounds)
  Trimmed Avg Host: 37744.4 us  |  Trimmed Avg Device: 982.1 us  (dropped 10 low + 10 high, 80 rounds used)
