  Round      Host (us)   Device (us)  Effective (us)     Orch (us)    Sched (us)
  ------------------------------------------------------------------------------
  0           184356.6        1905.2        1718.4        1097.1        1507.0
  1           131673.6        1699.3        1667.9        1278.0        1666.3
  2           146420.7        1712.4        1684.5        1306.1        1682.4
  3           131857.4        1803.4        1772.8        1238.3        1769.1
  4           130290.9        1708.1        1682.1        1285.1        1678.6
  5           131558.0        1623.0        1595.5        1254.4        1592.3
  6           134323.4        1736.8        1706.3        1264.9        1703.0
  7           139558.3        1722.6        1696.3        1244.7        1693.2
  8           146213.6        1734.2        1703.2        1259.3        1698.6
  9           135568.4        1677.5        1646.5        1265.9        1645.3
  10          133794.6        1702.4        1672.0        1295.2        1668.4
  11          131061.7        1766.4        1736.9        1274.5        1733.4
  12          132108.4        1760.0        1729.7        1262.9        1726.9
  13          136864.8        1739.5        1712.5        1244.7        1708.7
  14          131864.7        1828.9        1802.7        1232.1        1799.3
  15          137216.3        1758.7        1729.7        1267.7        1725.1
  16          143992.2        1813.3        1783.4        1236.8        1779.0
  17          134955.3        1791.0        1761.3        1268.6        1757.0
  18          142387.9        1788.1        1760.3        1222.3        1757.9
  19          137335.7        1803.5        1776.2        1291.5        1772.5
  20          133185.1        1758.6        1727.0        1269.2        1724.3
  21          132613.1        1843.8        1814.9        1231.0        1811.1
  22          135195.3        1671.8        1642.2        1283.8        1638.6
  23          132017.0        1865.5        1834.3        1274.9        1831.4
  24          133540.6        1804.9        1776.7        1267.8        1773.1
  25          137453.9        1658.2        1632.2        1264.4        1631.1
  26          131820.9        1713.1        1684.1        1253.9        1680.5
  27          132954.1        1652.3        1625.7        1269.2        1622.1
  28          131473.8        1665.8        1636.2        1274.6        1634.3
  29          134941.3        1673.2        1644.8        1290.4        1641.6
  30          140919.5        1773.3        1741.9        1272.3        1739.1
  31          134023.7        1661.0        1633.4        1291.0        1628.4
  32          132615.9        1702.9        1678.2        1280.2        1674.8
  33          133321.9        1675.3        1648.9        1280.4        1645.1
  34          143593.8        1942.8        1914.9        1270.3        1910.5
  35          148677.8        1742.6        1711.5        1302.4        1708.7
  36          127014.7        1776.3        1745.4        1259.9        1743.3
  37          129886.2        1651.1        1626.4        1269.1        1622.9
  38          126276.2        1711.2        1681.9        1275.7        1678.9
  39          129495.3        1717.5        1689.5        1290.6        1685.6
  40          128995.1        1659.9        1627.7        1283.2        1624.6
  41          126378.0        1759.5        1731.4        1268.6        1727.8
  42          127035.0        1721.6        1692.3        1279.4        1687.8
  43          125417.3        1805.2        1776.5        1256.2        1773.1
  44          126845.4        1912.7        1885.7        1275.6        1882.0
  45          127634.6        1818.1        1789.2        1248.4        1785.2
  46          126887.7        1753.0        1726.0        1259.6        1722.0
  47          139261.6        1766.4        1734.9        1242.6        1732.0
  48          144844.6        1890.9        1863.3        1237.9        1859.9
  49          163681.9        1840.6        1807.9        1244.9        1804.9
  50          148879.6        1786.8        1761.1        1274.7        1757.1
  51          156052.5        1693.7        1664.9        1275.1        1661.0
  52          137789.5        1806.6        1780.5        1279.1        1777.3
  53          147109.2        1833.3        1808.7        1254.5        1804.9
  54          146135.2        1673.3        1646.8        1283.2        1644.2
  55          137869.9        1631.4        1604.4        1279.7        1600.5
  56          134842.7        1936.1        1905.3        1264.7        1902.0
  57          142044.4        1616.9        1590.4        1261.5        1587.0
  58          135193.5        1810.1        1779.2        1239.8        1775.6
  59          131154.5        1679.5        1649.4        1256.5        1646.4
  60          133582.0        1663.3        1635.9        1269.1        1631.0
  61          134802.2        1702.8        1675.7        1292.0        1671.3
  62          131573.2        1737.2        1707.0        1276.9        1703.8
  63          130486.5        1738.8        1709.9        1261.0        1706.9
  64          131032.5        1728.8        1700.0        1281.9        1696.7
  65          132456.0        1780.5        1753.2        1254.5        1748.9
  66          131099.5        1711.5        1681.6        1277.0        1678.5
  67          140358.5        1729.0        1700.9        1277.8        1697.2
  68          145646.4        1681.7        1654.1        1264.8        1650.1
  69          156923.8        1646.3        1620.4        1266.8        1616.3
  70          141963.5        1807.3        1778.2        1282.3        1774.6
  71          131854.5        1713.6        1684.3        1278.2        1680.8
  72          158302.6        1925.3        1898.0        1248.2        1893.5
  73          134417.8        1698.6        1667.5        1266.9        1664.7
  74          131765.6        1743.9        1714.6        1270.7        1711.4
  75          146586.0        1691.2        1660.6        1300.8        1659.0
  76          140923.3        1779.1        1751.1        1258.2        1747.3
  77          146276.1        1744.1        1712.2        1283.4        1708.8
  78          165674.8        1768.8        1740.0        1277.4        1737.8
  79          134077.3        1754.4        1727.8        1272.5        1723.7
  80          148113.6        1708.2        1679.0        1270.6        1675.5
  81          149855.0        1753.5        1724.9        1311.4        1721.6
  82          145364.8        1673.3        1645.1        1287.0        1641.6
  83          132120.2        1912.6        1883.5        1272.5        1879.8
  84          134486.3        1654.1        1622.7        1266.4        1620.2
  85          129601.5        1676.5        1647.8        1260.9        1645.4
  86          132759.6        1728.6        1699.5        1268.0        1695.2
  87          161481.9        1722.2        1693.3        1258.9        1690.2
  88          136426.3        1734.5        1708.6        1271.8        1704.5
  89          148991.2        1670.4        1641.1        1301.7        1638.3
  90          151565.1        1698.1        1670.9        1294.4        1667.9
  91          133178.5        1639.0        1607.3        1275.0        1602.5
  92          133128.9        1839.7        1810.3        1277.9        1806.7
  93          130205.0        1763.8        1737.8        1280.4        1733.8
  94          132812.6        1746.6        1719.4        1290.9        1715.7
  95          132897.7        1706.0        1679.5        1300.8        1675.9
  96          131496.6        1721.3        1692.1        1283.1        1688.2
  97          134837.7        1656.1        1627.7        1299.2        1624.6
  98          137621.5        1855.3        1822.9        1255.3        1819.8
  99          136427.1        1614.4        1587.5        1277.3        1584.9
  Avg Host: 137816.5 us  |  Avg Device: 1743.5 us [100/100]  |  Avg Effective: 1713.3 us  |  Avg Orch: 1268.9 us  |  Avg Sched: 1707.8 us  (100 rounds)
  Trimmed Avg Host: 136409.8 us  |  Trimmed Avg Device: 1737.2 us  (dropped 10 low + 10 high, 80 rounds used)
