  Round      Host (us)   Device (us)  Effective (us)     Orch (us)    Sched (us)
  ------------------------------------------------------------------------------
  0            79035.5        1342.2        1178.1         566.0         957.9
  1            43313.8        1196.1        1160.4         676.4        1159.4
  2            39101.3        1062.4        1034.7         671.6        1030.5
  3            38674.6        1133.6        1105.3         676.4        1100.8
  4            50074.6        1140.4        1114.2         678.0        1111.9
  5            42906.9        1015.2         985.8         660.1         982.6
  6            40940.8        1060.5        1031.5         646.9        1029.1
  7            37522.2        1027.5        1001.9         664.7         999.1
  8            35423.4        1037.6        1010.0         661.6        1005.7
  9            33717.5        1022.8         999.7         665.3         996.7
  10           32773.3        1140.7        1117.4         656.5        1114.5
  11           32427.3        1069.3        1041.0         659.7        1039.0
  12           35328.4        1049.5        1021.2         657.6        1018.2
  13           44237.5        1112.5        1086.9         645.5        1082.6
  14           42146.0        1018.3         990.8         702.3         987.6
  15           39391.7        1106.7        1081.4         657.8        1078.6
  16           37677.1        1125.0        1095.5         687.6        1091.0
  17           36421.3        1034.1        1007.0         669.8        1005.1
  18           36054.3        1040.8        1014.6         675.0        1012.6
  19           34932.7        1178.5        1151.4         660.9        1147.9
  20           32449.9        1187.9        1161.4         659.5        1158.6
  21           34740.1        1134.1        1104.9         692.4        1101.3
  22           37513.5        1119.2        1091.2         659.3        1086.7
  23           34758.6         998.3         971.7         665.1         968.9
  24           35531.8         935.8         909.6         647.1         905.6
  25           35011.9        1123.1        1094.4         678.0        1091.3
  26           34556.4         993.0         964.2         676.7         961.3
  27           31982.4        1015.5         985.1         678.5         983.4
  28           33015.7        1070.9        1045.3         722.4        1042.4
  29           35556.6        1062.1        1033.2         692.8        1030.7
  30           34462.0        1061.0        1034.3         666.0        1032.1
  31           35036.8         968.4         942.1         657.0         939.9
  32           34578.7        1023.9         994.3         660.0         989.4
  33           34838.7        1034.2        1010.5         671.0        1007.6
  34           32109.7        1012.8         987.1         655.5         982.4
  35           32646.8        1009.0         984.4         662.6         980.1
  36           35435.5        1074.6        1045.1         660.3        1040.7
  37           34699.0        1047.7        1020.7         658.5        1017.4
  38           35472.8        1160.8        1133.4         656.1        1129.2
  39           44646.5         977.7         953.0         649.8         950.2
  40           46710.5        1099.7        1071.8         667.5        1069.3
  41           44464.1        1052.2        1023.3         651.2        1019.9
  42           41009.4        1055.7        1029.7         677.0        1025.5
  43           35408.1        1088.6        1060.2         644.3        1056.8
  44           35435.4         993.7         966.7         665.0         962.5
  45           35452.6        1072.7        1046.3         657.3        1042.7
  46           34447.7        1036.4        1012.5         659.4        1009.0
  47           36842.5        1024.1         996.6         670.8         991.4
  48           34775.7        1058.4        1030.6         642.4        1026.9
  49           37573.8        1153.6        1125.8         648.3        1121.9
  50           35413.2        1003.9         980.4         660.6         976.8
  51           35355.0        1086.4        1057.3         660.1        1054.1
  52           35217.9        1079.1        1054.3         659.6        1049.2
  53           34609.6        1144.1        1118.7         654.7        1113.6
  54           35455.4        1052.0        1027.3         660.6        1023.4
  55           37366.8        1032.9        1007.1         665.2        1003.6
  56           37114.6        1044.4        1019.6         650.2        1017.2
